brand,model
Aprilia,RS 457
Aprilia,RS 660
Aprilia,RSV4
Aprilia,SR 125
Aprilia,SR 160
Aprilia,SR 175
Aprilia,Storm 125
Aprilia,Tuareg 660
Aprilia,Tuono 457
Aprilia,Tuono 660
Bajaj,Avenger Cruise 220
Bajaj,Avenger Street 160
Bajaj,Chetak
Bajaj,CT 110X
Bajaj,Dominar 250
Bajaj,Dominar 400
Bajaj,Freedom 125
Bajaj,Platina 100
Bajaj,Platina 110
Bajaj,Pulsar 125
Bajaj,Pulsar 150
Bajaj,Pulsar 180
Bajaj,Pulsar 220F
Bajaj,Pulsar N125
Bajaj,Pulsar N160
Bajaj,Pulsar N250
Bajaj,Pulsar NS125
Bajaj,Pulsar NS160
Bajaj,Pulsar NS200
Bajaj,Pulsar NS400Z
Bajaj,Pulsar RS200
Benda,Dark Flag
Benelli,502C
Benelli,Leoncino 500
Benelli,TRK 502
Benelli,TRK 502X
BMW,C 400 GT
BMW,CE 02
BMW,CE 04
BMW,F 450 GS
BMW,F 900 GS
BMW,F 900 GS Adventure
BMW,G 310 RR
BMW,K 1600 Bagger
BMW,K 1600 GTL
BMW,M 1000 R
BMW,R 12
BMW,R 12 nineT
BMW,R 1300 GS
BMW,R 1300 GS Adventure
BMW,S 1000 R
BMW,S 1000 RR
BMW,S 1000 XR
CFMoto,300NK
CFMoto,650GT
CFMoto,650MT
CFMoto,650NK
Ducati,DesertX
Ducati,Desmo450 MX
Ducati,Diavel V4
Ducati,Hypermotard 698 Mono
Ducati,Hypermotard 950
Ducati,Monster
Ducati,Multistrada V2
Ducati,Multistrada V4
Ducati,Multistrada V4 Rally
Ducati,Multistrada V4 RS
Ducati,Panigale V2
Ducati,Panigale V4
Ducati,Panigale V4 Lamborghini
Ducati,Panigale V4 R
Ducati,Scrambler 800
Ducati,Streetfighter V2
Ducati,Streetfighter V4
Ducati,SuperSport
Ducati,XDiavel V4
Harley-Davidson,Breakout
Harley-Davidson,CVO Road Glide
Harley-Davidson,Fat Boy
Harley-Davidson,Heritage Classic
Harley-Davidson,Nightster
Harley-Davidson,Nightster Special
Harley-Davidson,Pan America 1250 Special
Harley-Davidson,Road Glide
Harley-Davidson,Sportster S
Harley-Davidson,Street Bob
Harley-Davidson,Street Glide
Harley-Davidson,X440
Harley-Davidson,X440 T
Hero,Destini 110
Hero,Destini 125
Hero,Destini Prime
Hero,Glamour
Hero,Glamour X 125
Hero,HF 100
Hero,HF Deluxe
Hero,Karizma XMR
Hero,Mavrick 440
Hero,Passion Plus
Hero,Pleasure Plus
Hero,Splendor Plus
Hero,Super Splendor
Hero,Xoom 110
Hero,Xoom 125
Hero,Xoom 160
Hero,Xpulse 200 4V
Hero,Xpulse 210
Hero,Xtreme 125R
Hero,Xtreme 160R
Hero,Xtreme 160R 4V
Hero,Xtreme 250R
Honda,Activa 125
Honda,Activa 6G
Honda,Activa e
Honda,CB1000 Hornet SP
Honda,CB125 Hornet
Honda,CB350
Honda,CB350C
Honda,CB350RS
Honda,CB750 Hornet
Honda,CBR1000RR-R Fireblade SP
Honda,Dio
Honda,Dio 125
Honda,Gold Wing Tour
Honda,H'ness CB350
Honda,Hornet 2.0
Honda,Livo
Honda,NX200
Honda,NX500
Honda,QC1
Honda,Shine 100
Honda,Shine 125
Honda,SP 125
Honda,SP160
Honda,Unicorn
Honda,XL750 Transalp
Husqvarna,Svartpilen 401
Husqvarna,Vitpilen 250
Indian Motorcycle,Challenger
Indian Motorcycle,Chief
Indian Motorcycle,Chieftain
Indian Motorcycle,FTR
Indian Motorcycle,Pursuit
Indian Motorcycle,Roadmaster
Indian Motorcycle,Scout
Indian Motorcycle,Springfield
Jawa,Jawa 350
Jawa,Jawa 42
Jawa,Jawa 42 Bobber
Jawa,Jawa 42 FJ
Jawa,Jawa Perak
Kawasaki,Eliminator
Kawasaki,KLX110R L
Kawasaki,KLX140R F
Kawasaki,KLX230
Kawasaki,KLX230R
Kawasaki,KLX230RS
Kawasaki,KLX450R
Kawasaki,KX112
Kawasaki,KX450
Kawasaki,KX85
Kawasaki,Ninja 1100SX
Kawasaki,Ninja 300
Kawasaki,Ninja 500
Kawasaki,Ninja 650
Kawasaki,Ninja H2 SX
Kawasaki,Ninja ZX-10R
Kawasaki,Ninja ZX-6R
Kawasaki,Versys 1100
Kawasaki,Versys 650
Kawasaki,Versys-X 300
Kawasaki,Vulcan S
Kawasaki,W175
Kawasaki,Z1100
Kawasaki,Z650
Kawasaki,Z650RS
Kawasaki,Z900
Keeway,Hypevolt-R
Keeway,SR125
Keeway,SR250
Keeway,V302C
KTM,1290 Super Adventure S
KTM,1390 Super Duke R
KTM,250 Adventure
KTM,390 Adventure
KTM,890 Adventure R
KTM,890 Duke R
KTM,Duke 160
KTM,Duke 200
KTM,Duke 250
KTM,Duke 390
KTM,Duke 390 R
KTM,RC 160
KTM,RC 200
KTM,RC 390
Moto Guzzi,V85 TT
QJMotor,SRC 250
QJMotor,SRC 500
QJMotor,SRK 400
QJMotor,SRV 300
Royal Enfield,Bear 650
Royal Enfield,Bullet 350
Royal Enfield,Bullet 650
Royal Enfield,Classic 350
Royal Enfield,Classic 650
Royal Enfield,Continental GT 650
Royal Enfield,Flying Flea C6
Royal Enfield,Goan Classic 350
Royal Enfield,Guerrilla 450
Royal Enfield,Himalayan 450
Royal Enfield,Hunter 350
Royal Enfield,Interceptor 650
Royal Enfield,Meteor 350
Royal Enfield,Scram 440
Royal Enfield,Shotgun 650
Royal Enfield,Super Meteor 650
Suzuki,Access 125
Suzuki,Avenis
Suzuki,Burgman Street
Suzuki,E Access
Suzuki,Gixxer
Suzuki,Gixxer 250
Suzuki,Gixxer SF
Suzuki,Gixxer SF 250
Suzuki,GSX-8R
Suzuki,Hayabusa
Suzuki,V-Strom 800 DE
Suzuki,V-Strom SX
Triumph,Bonneville Bobber
Triumph,Bonneville Speedmaster
Triumph,Bonneville T100
Triumph,Bonneville T120
Triumph,Daytona 660
Triumph,Rocket 3
Triumph,Scrambler 1200
Triumph,Scrambler 400 X
Triumph,Scrambler 400 XC
Triumph,Scrambler 900
Triumph,Speed 400
Triumph,Speed T4
Triumph,Speed Triple 1200 RS
Triumph,Speed Twin 1200
Triumph,Speed Twin 900
Triumph,Street Triple 765 R
Triumph,Street Triple 765 RS
Triumph,Street Triple 765 RX
Triumph,Thruxton 400
Triumph,Tiger 1200
Triumph,Tiger 900
Triumph,Tiger Sport 660
Triumph,Tracker 400
Triumph,Trident 660
TVS,Apache RR 310
TVS,Apache RTR 160
TVS,Apache RTR 160 4V
TVS,Apache RTR 180
