"name","price","originalPrice","discount","rating","reviewCount","image","images","category","sizes","colors","badge","compatibleBikes","description","specifications","inStock","stockQuantity","createdAt","updatedAt"
"Universal Led Fog Light (ZFL-50)",28000,29960,7,4.4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735194142_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735194142_700X700.webp","Accessories","","Black:#fd5d85","new","KTM Duke 390|Royal Enfield Classic 350|Royal Enfield Hunter 350","Universal Led Fog Light (ZFL-50)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Gel Seat Cushion Small (495grm)",1699,1885.8899999999999,11,4.4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1729089835_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1729089835_700X700.webp","Accessories","","Black:#84c4dc","new","Royal Enfield Classic 350|Bajaj Pulsar NS200|TVS Apache RTR 160","Universal Gel Seat Cushion Small (495grm)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Gel Seat Cushion Medium (770grm)",1899,1993.95,5,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1729142239_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1729142239_700X700.webp","Comfort","","Black:#b3c1d6","bestseller","Royal Enfield Hunter 350|Yamaha R15|TVS Apache RTR 160","Universal Gel Seat Cushion Medium (770grm)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Gel Seat Cushion Large (800grm)",1999,2178.91,9,4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1729142314_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_10_1729142314_700X700.webp","Comfort","","Black:#04f0a6","new","Bajaj Pulsar NS200|Honda CB350|Royal Enfield Classic 350","Universal Gel Seat Cushion Large (800grm)","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Tripper Tank Bag (8.0 litre) For BMW 310 GS",2999,3418.86,14,4.4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1733288943_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1733288943_700X700.webp","Luggage","","Black:#c11287","bestseller","Yamaha R15|TVS Apache RTR 160|Royal Enfield Classic 350","Tripper Tank Bag (8.0 litre) For BMW 310 GS","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Roadstar Saddle Bag 30 litre Single (60 litre pair)",6500,6955,7,4.2,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1737953201_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_01_1737953201_700X700.webp","Luggage","","Black:#756d2a","discount","Yamaha R15|KTM Duke 390|Royal Enfield Hunter 350","Roadstar Saddle Bag 30 litre Single (60 litre pair)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Led Fog Light (ZFL-40)",17000,17510,3,4.8,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735193987_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735193987_700X700.webp","Accessories","","Black:#fa107c","discount","Honda CB350|Bajaj Pulsar NS200|KTM Duke 390","Universal Led Fog Light (ZFL-40)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Led Fog Light (ZFL-35)",14200,14910,5,4.4,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735193770_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735193770_700X700.webp","Accessories","","Black:#db75fc","new","Royal Enfield Classic 350|Royal Enfield Hunter 350|Bajaj Pulsar NS200","Universal Led Fog Light (ZFL-35)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Led Fog Light (ZFL-20)",10500,11865,13,4.6,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735192045_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735192045_700X700.webp","Accessories","","Black:#155f52","bestseller","TVS Apache RTR 160|Bajaj Pulsar NS200|KTM Duke 390","Universal Led Fog Light (ZFL-20)","{}",true,10,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
"Universal Led Fog Light (ZFL-15)",7999,8478.94,6,4.1,0,"https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735194552_700X700.webp","https://www.zanamotorcycles.com/uploads/tempDir/proMImg_12_1735194552_700X700.webp","Accessories","","Black:#ba7a3a","bestseller","Royal Enfield Classic 350|Honda CB350|KTM Duke 390","Universal Led Fog Light (ZFL-15)","{}",false,0,"2026-03-02T20:53:40.624Z","2026-03-02T20:53:40.624Z"
